champion_id,champion_name,skin_id,skin_name,skin_release_date,win_rate_1m_before,win_rate_2w_after,popularity_1m_before,popularity_2w_after,buff_entries_6w_before,buff_patches_6w_before,nerf_entries_6w_after,nerf_patches_6w_after,win_rate_change,popularity_change,any_buff_6w_before,any_nerf_6w_after,popularity_quartile
134,Syndra,2,Atlantean,2014-04-29,49.2165614319893,49.0412816646177,3.61587724749998,6.90302778329725,1,1,0,0,-0.17527976737157,3.28715053579727,TRUE,FALSE,Q1: least popular
24,Jax,8,SKT T1,2014-05-04,51.4987926358274,51.9847465699219,17.5170988667993,21.3027400891359,1,1,0,0,0.485953934094461,3.78564122233656,TRUE,FALSE,Q4: most popular
64,Lee Sin,6,SKT T1,2014-05-04,47.9293907734588,47.9935050686016,30.144596500977,37.4184527227247,2,1,0,0,0.0641142951427298,7.27385622174764,TRUE,FALSE,Q4: most popular
67,Vayne,5,SKT T1,2014-05-04,46.9488687891451,46.5490793060704,20.4921718321586,27.0763296082178,1,1,0,0,-0.399789483074727,6.58415777605923,TRUE,FALSE,Q4: most popular
238,Zed,2,SKT T1,2014-05-04,47.6086657136314,47.4398986279688,15.8220079563758,16.7650256805047,1,1,0,0,-0.168767085662601,0.943017724128863,TRUE,FALSE,Q4: most popular
143,Zyra,3,SKT T1,2014-05-04,52.4115627463216,52.3214192084373,3.24507324206403,7.31536448991104,1,1,0,0,-0.090143537884245,4.07029124784701,TRUE,FALSE,Q1: least popular
80,Pantheon,6,Dragonslayer,2014-05-14,49.204264363402,49.1978698434668,13.6214058022311,13.5605451278331,3,1,1,1,-0.00639451993527729,-0.0608606743980715,TRUE,TRUE,Q4: most popular
127,Lissandra,2,Blade Queen,2014-05-26,48.8123972851433,46.7612454343908,2.38890603573132,5.34455469152171,2,1,0,0,-2.05115185075243,2.9556486557904,TRUE,FALSE,Q1: least popular
267,Nami,2,River Spirit,2014-06-01,51.128922796473,51.8747828210051,9.7195181589896,8.56731420481133,0,0,0,0,0.745860024532135,-1.15220395417827,FALSE,FALSE,Q3
133,Quinn,2,Woad Scout,2014-06-09,49.825446948124,49.4413582691929,4.93819795661495,10.268979904126,0,0,0,0,-0.384088678931143,5.33078194751105,FALSE,FALSE,Q2
12,Alistar,7,Sweeper,2014-06-18,44.5505503269848,43.8722101491192,4.74014543815278,5.20712320238448,0,0,1,1,-0.678340177865536,0.4669777642317,FALSE,TRUE,Q2
79,Gragas,7,Superfan,2014-06-18,47.344456914984,48.4176811929537,3.47605601854675,6.64535971358205,1,1,4,1,1.07322427796976,3.1693036950353,TRUE,TRUE,Q1: least popular
236,Lucian,2,Striker,2014-06-18,52.0633707449519,49.8229830848013,19.9376225641947,21.2190887640764,0,0,5,2,-2.24038766015059,1.28146619988174,FALSE,TRUE,Q4: most popular
4,Twisted Fate,8,Red Card,2014-06-18,46.8006770457779,47.2046981081524,8.71503200895998,8.46586708290815,0,0,0,0,0.404021062374547,-0.249164926051826,FALSE,FALSE,Q3
119,Draven,3,Primetime,2014-06-20,51.6021810183107,51.6877998984971,9.76295049898524,11.8403434035167,0,0,0,0,0.0856188801864306,2.07739290453146,FALSE,FALSE,Q3
8,Vladimir,6,Soulstealer,2014-07-09,48.0662355272274,48.1560573848728,3.38436793220399,5.03357584689486,1,1,0,0,0.0898218576454468,1.64920791469087,TRUE,FALSE,Q1: least popular
74,Heimerdinger,5,Hazmat,2014-07-13,52.5342189296138,52.4437691991939,3.60745566933537,4.24738688851263,0,0,0,0,-0.0904497304199054,0.639931219177262,FALSE,FALSE,Q1: least popular
266,Aatrox,2,Mecha,2014-07-23,49.4452466584678,48.9094323199033,3.59301904414873,4.74045892117574,0,0,0,0,-0.535814338564542,1.14743987702701,FALSE,FALSE,Q1: least popular
54,Malphite,6,Mecha,2014-07-23,51.5299676316553,51.8010252932951,8.35592786903391,11.6584316816472,0,0,0,0,0.271057661639773,3.30250381261333,FALSE,FALSE,Q3
81,Ezreal,7,Debonair,2014-08-05,48.3942930980867,48.1860136080839,17.7910177603309,18.8614898291047,1,1,0,0,-0.208279490002795,1.07047206877387,TRUE,FALSE,Q4: most popular
